cluster_id,direction_name,level,n_plans,n_students,n_subjects,plans,plans_detail
42,Неизвестное (Государственный экзамен...),Бакалавриат,1,31,20,[584335],"584335(сем[7, 8],31ст)"
40,Неизвестное (Комплексный практикум по социологии...),Бакалавриат,1,23,14,[281075],"281075(сем[1, 2],23ст)"
47,Неизвестное (Государственный экзамен...),Специалитет,1,23,10,[425259],"425259(сем[9, 10],23ст)"
45,Неизвестное (Основы международной безопасности...),Бакалавриат,1,22,15,[883840],"883840(сем[7, 8],22ст)"
44,20.03.01 Техносферная безопасность,Бакалавриат,1,21,16,[267335],"267335(сем[1, 2],21ст)"
50,Неизвестное (Логистика в сфере предпринимательства...),Бакалавриат,1,20,10,[353901],"353901(сем[7, 8],20ст)"
53,Неизвестное (Политическая регионалистика...),Бакалавриат,1,18,10,[358096],"358096(сем[7, 8],18ст)"
35,38.03.02 Менеджмент (антикриз.),Бакалавриат,3,17,32,"[216911, 246219, 663218]","216911(сем[5, 6],9ст); 246219(сем[7, 8],8ст); 663218(сем[7, 8],9ст)"
41,Неизвестное (Информационные системы в экономике...),Бакалавриат,1,17,13,[188941],"188941(сем[7, 8],17ст)"
39,Неизвестное (Государственный экзамен...),Бакалавриат,1,16,18,[784585],"784585(сем[7, 8],16ст)"
55,Неизвестное (Социально-политическая система стран Сев...),Бакалавриат,1,16,12,[786210],"786210(сем[7, 8],16ст)"
46,Неизвестное (Государственный экзамен...),Бакалавриат,1,16,9,[406771],"406771(сем[7, 8],16ст)"
48,Неизвестное (Государственный экзамен...),Бакалавриат,1,12,11,[951780],"951780(сем[7, 8],12ст)"
38,Неизвестное (Организация работы с различными категори...),Бакалавриат,2,8,23,"[196440, 292509]","196440(сем[3, 4],8ст); 292509(сем[5, 6],8ст)"
51,38.03.06 Торговое дело,Бакалавриат,1,8,13,[777839],"777839(сем[7, 8],8ст)"
52,Неизвестное (Комплексный практикум по социологии...),Бакалавриат,1,1,9,[595651],"595651(сем[1],1ст)"
